obi,hedge,kill,seed,abertura,meta,resto,total,nkill
True,True,False,20240114,-37.39999999999418,-627.4999999999854,-616.5200000000186,-1281.4199999999983,0
True,True,False,20240115,-92.19999999999709,-1062.6699999999983,-923.7000000000116,-2078.570000000007,0
True,True,False,20240116,12.270000000004075,-605.6999999999971,-409.40000000000873,-1002.8300000000017,0
True,True,False,20240117,-12.080000000001746,-1417.4900000000052,-326.1899999999732,-1755.7599999999802,0
True,True,False,20240118,-63.80000000000291,-772.0,-448.570000000007,-1284.37000000001,0
True,True,False,20240119,-49.01000000000931,-919.5,-313.5599999999977,-1282.070000000007,0
True,True,False,20240120,11.820000000006985,-1249.1899999999878,-472.7100000000064,-1710.0799999999872,0
True,True,True,20240101,-11.319999999992433,-501.22000000000116,-426.68000000000757,-939.2200000000012,60
True,True,True,20240102,5.889999999999418,-599.4499999999971,-453.1900000000023,-1046.75,449
True,True,True,20240103,4.5,-589.2600000000093,-361.4099999999744,-946.1699999999837,237
True,True,True,20240104,3.2700000000040745,-699.5899999999965,-431.5200000000041,-1127.8399999999965,481
True,True,True,20240105,4.619999999995343,-660.6700000000128,-272.1499999999796,-928.1999999999971,604
True,True,True,20240106,-12.029999999998836,-937.5,-462.38999999998487,-1411.9199999999837,287
True,True,True,20240107,-43.80999999999767,-545.6500000000087,-603.1600000000035,-1192.62000000001,483
True,True,True,20240108,-42.669999999998254,-603.7699999999895,-479.40000000000873,-1125.8399999999965,508
True,True,True,20240109,-21.0,-527.5200000000041,-864.1000000000058,-1412.62000000001,65
True,True,True,20240110,-20.519999999989523,-1055.9799999999814,-693.0300000000279,-1769.5299999999988,297
True,True,True,20240111,4.809999999997672,-1050.25,-649.2100000000064,-1694.6500000000087,622
True,True,True,20240112,-2.960000000006403,-845.3099999999977,-587.7700000000041,-1436.0400000000081,508
True,True,True,20240113,-15.339999999996508,-573.5299999999988,-724.039999999979,-1312.9099999999744,500
True,True,True,20240114,-65.13000000000466,-536.9799999999959,-724.3699999999953,-1326.479999999996,135
True,True,True,20240115,-92.19999999999709,-709.4500000000116,-593.7799999999843,-1395.429999999993,329
True,True,True,20240116,12.270000000004075,-572.1100000000006,-531.7000000000116,-1091.5400000000081,20
True,True,True,20240117,-12.080000000001746,-680.5899999999965,-246.88000000000466,-939.5500000000029,304
True,True,True,20240118,8.009999999994761,-698.5499999999884,-467.65000000000873,-1158.1900000000023,162
True,True,True,20240119,-9.210000000006403,-527.6399999999994,-680.5499999999884,-1217.3999999999942,56
True,True,True,20240120,-4.619999999995343,-759.6200000000099,-523.5600000000122,-1287.8000000000175,426
